Nama Barang;Satuan;Harga
Business File A4 (Hitam) Merk Inter X;Pcs;2500
Business File A4 (Kuning) Merk Inter X;Pcs;2500
Business File A4 (Merah) Merk Inter X;Pcs;2500
Business File A4 (Pink) Merk Inter X;Pcs;2500
Business File A4 (Putih) Merk Inter X;Pcs;2500
Business File A4 (Ungu) - Inter X;Pcs;2500
Business File F4 (Biru) Merk Inter X;Pcs;2600
Business File F4 (Hijau) Merk Inter X;Pcs;2600
Business File F4 (Hitam) Merk Inter X;Pcs;2600
Business File F4 (Kuning) Merk Inter X;Pcs;2600
Business File F4 (Merah) Merk Inter X;Pcs;2600
Business File F4 (Pink) Merk Inter X;Pcs;2600
Business File F4 (Putih) Merk Inter X;Pcs;2600
Business File F4 (Ungu) Merk Inter X;Pcs;2600
Bussiness File A4 (Abu-Abu) Merk Daichi;Pcs;3500
Bussiness File A4 (Biru) Merk Daichi;Pcs;3500
Bussiness File A4 (Hijau) Merk Daichi;Pcs;3500
Bussiness File A4 (Kuning) Merk Daichi;Pcs;3500
Bussiness File A4 (Merah) Merk Daichi;Pcs;3500
Bussiness File F4 (Abu-Abu) Merk Daichi;Pcs;4200
Bussiness File F4 (Abu-Abu) Merk Inter X;Pcs;2700
Bussiness File F4 (Biru) - Daiichi;Pcs;3750
Bussiness File F4 (Hijau) Merk Daichi;Pcs;3750
Bussiness File F4 (Kuning) Merk Daichi;Pcs;3750
Bussiness File F4 (Merah) Merk Daichi;Pcs;4200
Cable Ties Hitam Uk. 3.6 x 150 mm;Pak;14000
Cable Ties Hitam Uk. 3.6 x 200 mm;Pak;18000
Cable Ties Hitam Uk. 3.6 x 300 mm;Pak;20000
Cable Ties Hitam Uk. 4.8 x 300 mm;Pak;28000
Cable Ties Hitam Uk. 4.8 x 430 mm;Pak;35000
Cable Ties Putih Uk. 2.5 x 100 mm;Pak;12000
Cable Ties Putih Uk. 2.5 x 150 mm;Pak;7000
Cable Ties Putih Uk. 3.6 x 150 mm;Pak;14000
Cable Ties Putih Uk. 3.6 x 200 mm;Pak;18000
Cable Ties Putih Uk. 4.8 x 250 mm;Pak;32000
Cable Ties Putih Uk. 4.8 x 300 mm;Pak;32000
Cable Ties Putih Uk. 4.8 x 430 mm;Pak;34000
Cairan Pemutih 1 Liter Merk Bayclin;Pcs;27000
Calculator 12 Digit Bantex BD4122;Pcs;56000
Calculator 12 Digit Bantex BD4312;Pcs;95000
Calculator 868 Merk Deli;Pcs;78000
Calculator AS-120V Merk Canon;Pcs;77000
Calculator Casio DH 12;Pcs;135000
Calculator Casio DH 14;Pcs;165000
Calculator Casio DH 16 (16 Digit);Pcs;198000
Calculator Casio MJ 120 D Plus;Pcs;143000
Calculator Casio MX 120 B;Pcs;103000
Calculator Casio MX 12B;Pcs;70000
Calculator CC 31 (16 Digit) Merk Joyko;Pcs;77000
Calculator CC-13 (12 Digit) Merk Joyko;Pcs;36000
Calculator CC-39 - Joyko;Pcs;36000
Calculator CC-68 - Joyko;Pcs;54000
Calculator CC-80 CO- Joyko;Pcs;24000
Calculator CC-810CH (14 Digit) - Joyko;Pcs;85000
Calculator CC-868 Merk Joyko;Pcs;55000
Carry Case File 4 Cm CCX 100F - InterX;Pcs;18000
Carry File 2 Cm Merk InterX;Pcs;16000
Cartridge Pita Printer LQ 2180 / 2190 - Printech;Pcs;74000
Cartridge Pita Printer LQ 2180 / 2190 (SO15531) - Epson;Pcs;184000
Cartridge Pita Printer LQ 300 (SO15506) - Epson;Pcs;64000
Cartridge Pita Printer LQ 310 (SO15639) - Epson;Pcs;64000
